"";"sample";"sampling";"species";"counts";"gf";"date";"morp";"magnification";"info";"cells_ml";"temperature";"nutrients"
"1";97;1;"asterio";64;6;"18.04.";"mix";20;NA;5452,8;9;"Low"
"2";98;1;"asterio";41;6;"18.04.";"mix";20;NA;3493,2;9;"Low"
"3";99;1;"asterio";70;6;"18.04.";"mix";20;NA;5964;9;"Low"
"4";100;1;"asterio";0;6;"18.04.";"mix";20;NA;0;9;"HI"
"5";101;1;"asterio";3;6;"18.04.";"mix";20;NA;255,6;9;"HI"
"6";102;1;"asterio";1;6;"18.04.";"mix";20;NA;85,2;9;"HI"
"7";157;1;"asterio";108;6;"18.04.";"mix";20;NA;9201,6;12;"Low"
"8";158;1;"asterio";101;6;"18.04.";"mix";20;NA;8605,2;12;"Low"
"9";159;1;"asterio";65;6;"18.04.";"mix";20;NA;5538;12;"Low"
"10";160;1;"asterio";1;6;"18.04.";"mix";20;NA;85,2;12;"HI"
"11";161;1;"asterio";11;6;"18.04.";"mix";20;NA;937,2;12;"HI"
"12";162;1;"asterio";8;6;"18.04.";"mix";20;NA;681,6;12;"HI"
"13";217;1;"asterio";101;6;"18.04.";"mix";20;NA;8605,2;15;"Low"
"14";218;1;"asterio";79;6;"18.04.";"mix";20;NA;6730,8;15;"Low"
"15";219;1;"asterio";67;6;"18.04.";"mix";20;NA;5708,4;15;"Low"
"16";220;1;"asterio";3;6;"18.04.";"mix";20;NA;255,6;15;"HI"
"17";221;1;"asterio";4;6;"18.04.";"mix";20;NA;340,8;15;"HI"
"18";222;1;"asterio";16;6;"18.04.";"mix";20;NA;1363,2;15;"HI"
"19";277;1;"asterio";106;6;"18.04.";"mix";20;NA;9031,2;18;"Low"
"20";278;1;"asterio";62;6;"18.04.";"mix";20;NA;5282,4;18;"Low"
"21";279;1;"asterio";107;6;"18.04.";"mix";20;NA;9116,4;18;"Low"
"22";280;1;"asterio";10;6;"18.04.";"mix";20;NA;852;18;"HI"
"23";281;1;"asterio";13;6;"18.04.";"mix";20;NA;1107,6;18;"HI"
"24";282;1;"asterio";10;6;"18.04.";"mix";20;NA;852;18;"HI"
"25";337;1;"asterio";51;6;"18.04.";"mix";20;NA;4345,2;21;"Low"
"26";338;1;"asterio";57;6;"18.04.";"mix";20;NA;4856,4;21;"Low"
"27";339;1;"asterio";58;6;"18.04.";"mix";20;NA;4941,6;21;"Low"
"28";340;1;"asterio";5;6;"18.04.";"mix";20;NA;426;21;"HI"
"29";341;1;"asterio";0;6;"18.04.";"mix";20;NA;0;21;"HI"
"30";342;1;"asterio";1;6;"18.04.";"mix";20;NA;85,2;21;"HI"
"31";97;1;"dity";8;6;"18.04.";"mix";10;NA;170,4;9;"Low"
"32";98;1;"dity";4;6;"18.04.";"mix";10;NA;85,2;9;"Low"
"33";99;1;"dity";2;6;"18.04.";"mix";10;NA;42,6;9;"Low"
"34";100;1;"dity";1;6;"18.04.";"mix";10;NA;21,3;9;"HI"
"35";101;1;"dity";3;6;"18.04.";"mix";10;NA;63,9;9;"HI"
"36";102;1;"dity";12;6;"18.04.";"mix";10;NA;255,6;9;"HI"
"37";157;1;"dity";5;6;"18.04.";"mix";10;NA;106,5;12;"Low"
"38";158;1;"dity";3;6;"18.04.";"mix";10;NA;63,9;12;"Low"
